user_id,active_month,avg_month_logins_amount,days_since_last_login,frecuency_score_last_active_month,is_churn,avg_month_fiat_payment_volumen,avg_month_fiat_payment_tx_amount,avg_month_crypto_payment_volumen,avg_month_earn_volumen,avg_month_earn_tx_amount,avg_month_fiat_cashin_volumen,avg_month_fiat_cashin_tx_amount,avg_month_crypto_cashin_volumen,avg_month_crypto_cashin_tx_amount,avg_month_fiat_cashout_volumen,avg_month_fiat_cashout_tx_amount,avg_month_crypto_cashout_volumen,avg_month_crypto_cashout_tx_amount,total_avg_tx_count,is_engaged
user_08798,8,5.0,197,0.0,0,0.0,0,0.12,0.0,23,0.12,0,0.0,0,0.0,0,0.0,0,23,True
user_08799,8,11.9,2,0.0,0,6.32,3,0.15,0.0,1,129.59,11,0.0,0,124.53,27,0.0,0,42,True
user_08800,2,3.1,300,78.91,1,0.0,1,68.44,0.0,0,35.93,2,29.8,3,32.85,3,28.93,1,10,True
user_08803,8,4.2,113,5.1,1,25.94,0,0.4,0.0,0,29.13,1,0.0,0,2.16,0,0.0,0,1,True
user_08804,2,6.9,320,184.69,1,341.2,16,0.0,0.0,1,315.67,5,0.0,0,5.42,0,0.0,0,22,True
user_08806,2,3.3,211,64.81,1,0.0,1,0.0,0.0,0,152.77,2,0.0,1,157.11,7,0.0,0,11,True
user_08813,3,4.9,46,70.28,1,0.0,0,16.7,0.0,0,1.49,0,14.4,1,17.38,2,0.0,1,4,True
user_08814,4,2.3,4,0.0,0,0.0,0,0.42,0.0,0,0.46,0,0.0,0,0.86,0,0.0,0,0,True
user_08815,2,7.7,232,78.65,1,0.0,0,6.44,0.0,1,3.62,5,0.0,1,3.32,2,0.0,0,9,True
user_08816,12,6.4,299,0.0,0,39.31,1,0.0,0.29,17,56.56,0,0.0,0,9.44,0,0.0,0,18,True
user_08817,3,5.1,13,26.04,1,3.76,0,0.0,0.05,9,17.12,2,0.0,0,11.95,1,0.0,0,12,True
user_08825,13,9.6,2,0.0,0,0.0,0,11.19,0.01,3,7.78,0,3.96,0,2.87,1,8.39,0,4,True
user_08827,2,1.0,49,9.16,1,0.0,0,0.0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,1,3,True
